full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  9430 Erichthonios (1996 HU10),0.0787,0.0363,0.0373,2.79830323555637,30.46682697603681,0.077,0.154,0.154,?,0.809999999999999,1.53,0.600000000000001,0.309999999999999,0.140000000000001,?,?,?,5,-,Dolon,ErichthoniosSub,D,Fornasier2004
 11488 (1988 RM11),0.0767,0.0413,0.0438,3.86551962145541,35.90200244009929,0.119,0.238,0.238,?,0.789999999999999,1.6,0.57,0.205,0.129999999999999,?,?,?,5,-,Dolon,ErichthoniosSub,XD,Fornasier2012
 30498 (2000 QK100),0.0878,0.0569,0.0595,3.71923701340563,34.5282778008741,0.082,0.165,0.165,?,0.709999999999997,1.51,0.5,0.18,0.129999999999999,?,?,?,5,-,Dolon,ErichthoniosSub,,
124696 (2001 SC137),0.0804,0.0435,0.0673,3.6023884434073903,34.796212900094396,?,?,?,?,0.71,1.51666666666667,0.500000000000001,0.23,0.086666666666667,?,?,?,5,-,Dolon,ErichthoniosSub,,
284882 (2009 FY59),0.0834,0.0425,0.1389,3.73614600421826,36.362052549249,?,?,?,?,?,?,?,?,?,0.4350375,0.7209095,?,5,-,Dolon,ErichthoniosSub,,
