full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,da_p-intv,da_p-left,da_p-right,e_p-intv,e_p-left,e_p-right,sini_p-intv,sini_p-left,sini_p-right,MeanLib-intv,MeanLib-left,MeanLib-right,LibRange-intv,LibRange-left,LibRange-right,albedo-intv,albedo-left,albedo-right,W1Alb-intv,W1Alb-left,W1Alb-right,W2Alb-intv,W2Alb-left,W2Alb-right,g_mag-mean-intv,g_mag-mean-left,g_mag-mean-right,(b - v)-intv,(b - v)-left,(b - v)-right,(u - g)-intv,(u - g)-left,(u - g)-right,(g - r)-intv,(g - r)-left,(g - r)-right,(r - i)-intv,(r - i)-left,(r - i)-right,(i - z)-intv,(i - z)-left,(i - z)-right,(Y - J)-intv,(Y - J)-left,(Y - J)-right,(J - Ks)-intv,(J - Ks)-left,(J - Ks)-right,(H - Ks)-intv,(H - Ks)-left,(H - Ks)-right,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  3548 Eurybates (1973 SO),7.0,3.0,2.0,6.0,7.0,2.0,1.0,1.0,9.0,?,?,?,?,?,?,?,?,4,"(0.0798, 0.0911]",0.0798,0.0911,"(0.0408, 0.0532]",0.0408,0.0532,"(0.119, 0.172]",0.11900000000000001,0.172,"(4.427, 5.757]",4.427,5.7570000000000014,"(39.195, 44.393]",39.195,44.393,"(0.0483, 0.06]",0.0483,0.06,"(0.0789, 0.102]",0.0789,0.102,"(0.0528, 0.0776]",0.0528,0.0776,"(17.564, 17.836]",17.564,17.836,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterAjax,Eurybates,EurybatesSub,C,Fornasier2007
 24380 (2000 AA160),7.0,3.0,2.0,5.0,6.0,3.0,3.0,4.0,?,?,?,?,?,?,?,?,?,4,"(0.0798, 0.0911]",0.0798,0.0911,"(0.0408, 0.0532]",0.0408,0.0532,"(0.119, 0.172]",0.11900000000000001,0.172,"(3.096, 4.427]",3.096,4.427,"(33.996, 39.195]",33.996,39.195,"(0.06, 0.0717]",0.06,0.0717,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.127, 0.152]",0.127,0.152,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterAjax,Eurybates,EurybatesSub,C,Fornasier2007
 28958 (2001 CQ42),7.0,3.0,2.0,5.0,6.0,3.0,3.0,4.0,?,?,?,?,?,?,?,?,?,4,"(0.0798, 0.0911]",0.0798,0.0911,"(0.0408, 0.0532]",0.0408,0.0532,"(0.119, 0.172]",0.11900000000000001,0.172,"(3.096, 4.427]",3.096,4.427,"(33.996, 39.195]",33.996,39.195,"(0.06, 0.0717]",0.06,0.0717,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.127, 0.152]",0.127,0.152,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterAjax,Eurybates,EurybatesSub,C,Fornasier2007
 39285 (2001 BP75),7.0,3.0,2.0,6.0,7.0,3.0,3.0,3.0,?,?,?,?,?,?,?,?,?,4,"(0.0798, 0.0911]",0.0798,0.0911,"(0.0408, 0.0532]",0.0408,0.0532,"(0.119, 0.172]",0.11900000000000001,0.172,"(4.427, 5.757]",4.427,5.7570000000000014,"(39.195, 44.393]",39.195,44.393,"(0.06, 0.0717]",0.06,0.0717,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.102, 0.127]",0.102,0.127,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterAjax,Eurybates,EurybatesSub,C,Fornasier2007
 39793 (1997 SZ23),6.0,3.0,4.0,4.0,6.0,7.0,?,?,?,?,?,?,?,?,5.0,6.0,?,4,"(0.0684, 0.0798]",0.0684,0.0798,"(0.0408, 0.0532]",0.0408,0.0532,"(0.226, 0.28]",0.226,0.28,"(1.766, 3.096]",1.766,3.096,"(33.996, 39.195]",33.996,39.195,"(0.107, 0.118]",0.107,0.11800000000000001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"(0.257, 0.304]",0.257,0.304,"(0.789, 0.909]",0.789,0.909,-,-,-,GreaterAjax,Eurybates,EurybatesSub,,
137879 (2000 AJ114),6.0,3.0,4.0,4.0,5.0,2.0,?,?,?,5.0,8.0,5.0,6.0,11.0,?,?,?,4,"(0.0684, 0.0798]",0.0684,0.0798,"(0.0408, 0.0532]",0.0408,0.0532,"(0.226, 0.28]",0.226,0.28,"(1.766, 3.096]",1.766,3.096,"(28.797, 33.996]",28.796999999999997,33.996,"(0.0483, 0.06]",0.0483,0.06,-,-,-,-,-,-,-,-,-,"(0.857, 0.926]",0.857,0.926,"(1.515, 1.626]",1.515,1.626,"(0.633, 0.7]",0.633,0.7,"(0.201, 0.223]",0.201,0.223,"(0.183, 0.25]",0.183,0.25,-,-,-,-,-,-,-,-,-,GreaterAjax,Eurybates,EurybatesSub,,
312457 (2008 QH42),7.0,3.0,4.0,5.0,6.0,3.0,?,?,?,?,?,?,?,?,10.0,7.0,?,4,"(0.0798, 0.0911]",0.0798,0.0911,"(0.0408, 0.0532]",0.0408,0.0532,"(0.226, 0.28]",0.226,0.28,"(3.096, 4.427]",3.096,4.427,"(33.996, 39.195]",33.996,39.195,"(0.06, 0.0717]",0.06,0.0717,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"(0.492, 0.539]",0.4920000000000001,0.539,"(0.909, 1.028]",0.909,1.028,-,-,-,GreaterAjax,Eurybates,EurybatesSub,,
315208 (2007 RS22),7.0,2.0,4.0,5.0,7.0,3.0,?,?,?,?,?,?,?,?,10.0,6.0,?,4,"(0.0798, 0.0911]",0.0798,0.0911,"(0.0284, 0.0408]",0.0284,0.0408,"(0.226, 0.28]",0.226,0.28,"(3.096, 4.427]",3.096,4.427,"(39.195, 44.393]",39.195,44.393,"(0.06, 0.0717]",0.06,0.0717,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"(0.492, 0.539]",0.4920000000000001,0.539,"(0.789, 0.909]",0.789,0.909,-,-,-,GreaterAjax,Eurybates,EurybatesSub,,
