full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,da_p-intv,da_p-left,da_p-right,e_p-intv,e_p-left,e_p-right,sini_p-intv,sini_p-left,sini_p-right,MeanLib-intv,MeanLib-left,MeanLib-right,LibRange-intv,LibRange-left,LibRange-right,albedo-intv,albedo-left,albedo-right,W1Alb-intv,W1Alb-left,W1Alb-right,W2Alb-intv,W2Alb-left,W2Alb-right,g_mag-mean-intv,g_mag-mean-left,g_mag-mean-right,(b - v)-intv,(b - v)-left,(b - v)-right,(u - g)-intv,(u - g)-left,(u - g)-right,(g - r)-intv,(g - r)-left,(g - r)-right,(r - i)-intv,(r - i)-left,(r - i)-right,(i - z)-intv,(i - z)-left,(i - z)-right,(Y - J)-intv,(Y - J)-left,(Y - J)-right,(J - Ks)-intv,(J - Ks)-left,(J - Ks)-right,(H - Ks)-intv,(H - Ks)-left,(H - Ks)-right,GreaterClan,Clan,SubClan,tax_c,Tax_ref
 23694 (1997 KZ3),9.0,0.0,2.0,6.0,7.0,2.0,2.0,2.0,?,?,?,?,?,?,?,?,?,5,"(0.102, 0.114]",0.102,0.114,"(0.00351, 0.0161]",0.00351,0.0161,"(0.119, 0.172]",0.11900000000000001,0.172,"(4.427, 5.757]",4.427,5.7570000000000014,"(39.195, 44.393]",39.195,44.393,"(0.0483, 0.06]",0.0483,0.06,"(0.102, 0.125]",0.102,0.125,"(0.0776, 0.102]",0.0776,0.102,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterAstyanax,Astyanax,OphelestesSub,D,Fornasier2004
 32430 (2000 RQ83),9.0,0.0,2.0,6.0,7.0,11.0,11.0,11.0,?,?,?,?,?,?,?,?,?,5,"(0.102, 0.114]",0.102,0.114,"(0.00351, 0.0161]",0.00351,0.0161,"(0.119, 0.172]",0.11900000000000001,0.172,"(4.427, 5.757]",4.427,5.7570000000000014,"(39.195, 44.393]",39.195,44.393,"(0.153, 0.165]",0.153,0.165,"(0.308, 0.331]",0.308,0.331,"(0.301, 0.326]",0.301,0.326,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterAstyanax,Astyanax,OphelestesSub,D,Fornasier2004
 52767 Ophelestes (1998 MW41),9.0,1.0,3.0,6.0,7.0,1.0,?,?,?,4.0,6.0,4.0,7.0,10.0,?,?,?,5,"(0.102, 0.114]",0.102,0.114,"(0.0161, 0.0284]",0.0161,0.0284,"(0.172, 0.226]",0.172,0.226,"(4.427, 5.757]",4.427,5.7570000000000014,"(39.195, 44.393]",39.195,44.393,"(0.0367, 0.0483]",0.0367,0.0483,-,-,-,-,-,-,-,-,-,"(0.787, 0.857]",0.787,0.857,"(1.294, 1.405]",1.294,1.405,"(0.567, 0.633]",0.5670000000000001,0.633,"(0.223, 0.245]",0.223,0.245,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,GreaterAstyanax,Astyanax,OphelestesSub,,
106160 (2000 TG61),9.0,2.0,4.0,6.0,8.0,8.0,?,?,?,3.0,6.0,3.0,3.0,10.0,?,?,?,5,"(0.102, 0.114]",0.102,0.114,"(0.0284, 0.0408]",0.0284,0.0408,"(0.226, 0.28]",0.226,0.28,"(4.427, 5.757]",4.427,5.7570000000000014,"(44.393, 49.592]",44.393,49.592,"(0.118, 0.13]",0.11800000000000001,0.13,-,-,-,-,-,-,-,-,-,"(0.718, 0.787]",0.718,0.787,"(1.294, 1.405]",1.294,1.405,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.135, 0.157]",0.135,0.157,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,GreaterAstyanax,Astyanax,OphelestesSub,,
117385 (2004 YN20),9.0,2.0,3.0,6.0,8.0,4.0,?,?,?,?,?,?,?,?,6.0,1.0,?,5,"(0.102, 0.114]",0.102,0.114,"(0.0284, 0.0408]",0.0284,0.0408,"(0.172, 0.226]",0.172,0.226,"(4.427, 5.757]",4.427,5.7570000000000014,"(44.393, 49.592]",44.393,49.592,"(0.0717, 0.0833]",0.0717,0.0833,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"(0.304, 0.351]",0.304,0.35100000000000003,"(0.189, 0.309]",0.189,0.309,-,-,-,GreaterAstyanax,Astyanax,OphelestesSub,,
