full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,da_p-intv,da_p-left,da_p-right,e_p-intv,e_p-left,e_p-right,sini_p-intv,sini_p-left,sini_p-right,MeanLib-intv,MeanLib-left,MeanLib-right,LibRange-intv,LibRange-left,LibRange-right,albedo-intv,albedo-left,albedo-right,W1Alb-intv,W1Alb-left,W1Alb-right,W2Alb-intv,W2Alb-left,W2Alb-right,g_mag-mean-intv,g_mag-mean-left,g_mag-mean-right,(b - v)-intv,(b - v)-left,(b - v)-right,(u - g)-intv,(u - g)-left,(u - g)-right,(g - r)-intv,(g - r)-left,(g - r)-right,(r - i)-intv,(r - i)-left,(r - i)-right,(i - z)-intv,(i - z)-left,(i - z)-right,(Y - J)-intv,(Y - J)-left,(Y - J)-right,(J - Ks)-intv,(J - Ks)-left,(J - Ks)-right,(H - Ks)-intv,(H - Ks)-left,(H - Ks)-right,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  3708 (1974 FV1),0.0,10.0,4.0,3.0,0.0,2.0,2.0,3.0,8.0,3.0,7.0,3.0,6.0,11.0,?,?,?,5,"(0.000442, 0.0119]",0.000442,0.0119,"(0.127, 0.14]",0.127,0.14,"(0.226, 0.28]",0.226,0.28,"(0.436, 1.766]",0.436,1.766,"(2.731, 8.002]",2.7310000000000003,8.002,"(0.0483, 0.06]",0.0483,0.06,"(0.102, 0.125]",0.102,0.125,"(0.102, 0.127]",0.102,0.127,"(17.291, 17.564]",17.291,17.564,"(0.718, 0.787]",0.718,0.787,"(1.405, 1.515]",1.405,1.515,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.201, 0.223]",0.201,0.223,"(0.183, 0.25]",0.183,0.25,-,-,-,-,-,-,-,-,-,GreaterPatroclus,1971FV1,1971FV1Sub,D,Bendjoya2004
  4348 Poulydamas (1988 RU),3.0,6.0,2.0,3.0,2.0,0.0,0.0,1.0,7.0,?,?,?,?,?,?,?,?,5,"(0.0345, 0.0458]",0.0345,0.0458,"(0.0779, 0.0903]",0.0779,0.0903,"(0.119, 0.172]",0.11900000000000001,0.172,"(0.436, 1.766]",0.436,1.766,"(13.201, 18.4]",13.200999999999999,18.4,"(0.0248, 0.0367]",0.0248,0.0367,"(0.0557, 0.0789]",0.0557,0.0789,"(0.0528, 0.0776]",0.0528,0.0776,"(17.019, 17.291]",17.019000000000002,17.291,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterPatroclus,Phereclos,PandarusSub,X,Bendjoya2004
  4709 Ennomos (1988 TU2),6.0,2.0,8.0,4.0,7.0,4.0,1.0,2.0,4.0,?,?,?,?,?,?,?,?,5,"(0.0684, 0.0798]",0.0684,0.0798,"(0.0284, 0.0408]",0.0284,0.0408,"(0.441, 0.495]",0.441,0.495,"(1.766, 3.096]",1.766,3.096,"(39.195, 44.393]",39.195,44.393,"(0.0717, 0.0833]",0.0717,0.0833,"(0.0789, 0.102]",0.0789,0.102,"(0.0776, 0.102]",0.0776,0.102,"(16.202, 16.475]",16.202,16.475,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterPatroclus,Cebriones,-,,
  4722 Agelaos (4271 T-3),1.0,8.0,2.0,3.0,1.0,4.0,4.0,5.0,10.0,?,?,?,?,?,?,?,?,5,"(0.0119, 0.0232]",0.0119,0.0232,"(0.103, 0.115]",0.10300000000000001,0.115,"(0.119, 0.172]",0.11900000000000001,0.172,"(0.436, 1.766]",0.436,1.766,"(8.002, 13.201]",8.002,13.200999999999999,"(0.0717, 0.0833]",0.0717,0.0833,"(0.148, 0.171]",0.14800000000000002,0.171,"(0.152, 0.177]",0.152,0.177,"(17.836, 18.108]",17.836,18.108,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterPatroclus,1971FV1,-,,
  4832 Palinurus (1988 TU1),5.0,8.0,5.0,4.0,4.0,3.0,2.0,3.0,10.0,4.0,7.0,4.0,9.0,10.0,?,?,?,5,"(0.0571, 0.0684]",0.0571,0.0684,"(0.103, 0.115]",0.10300000000000001,0.115,"(0.28, 0.334]",0.28,0.33399999999999996,"(1.766, 3.096]",1.766,3.096,"(23.599, 28.797]",23.599,28.796999999999997,"(0.06, 0.0717]",0.06,0.0717,"(0.102, 0.125]",0.102,0.125,"(0.102, 0.127]",0.102,0.127,"(17.836, 18.108]",17.836,18.108,"(0.787, 0.857]",0.787,0.857,"(1.405, 1.515]",1.405,1.515,"(0.567, 0.633]",0.5670000000000001,0.633,"(0.267, 0.29]",0.267,0.29,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,GreaterPatroclus,-,-,D,Hasselmann2012
  5119 (1988 RA1),0.0,5.0,5.0,2.0,1.0,3.0,2.0,4.0,11.0,5.0,9.0,5.0,3.0,2.0,?,?,?,5,"(0.000442, 0.0119]",0.000442,0.0119,"(0.0655, 0.0779]",0.0655,0.0779,"(0.28, 0.334]",0.28,0.33399999999999996,"(-0.895, 0.436]",-0.895,0.436,"(8.002, 13.201]",8.002,13.200999999999999,"(0.06, 0.0717]",0.06,0.0717,"(0.102, 0.125]",0.102,0.125,"(0.127, 0.152]",0.127,0.152,"(18.108, 18.381]",18.108,18.381,"(0.857, 0.926]",0.857,0.926,"(1.626, 1.737]",1.626,1.737,"(0.633, 0.7]",0.633,0.7,"(0.135, 0.157]",0.135,0.157,"(-0.417, -0.35]",-0.417,-0.35,-,-,-,-,-,-,-,-,-,GreaterPatroclus,-,-,,
  5120 Bitias (1988 TZ1),7.0,5.0,8.0,3.0,5.0,8.0,3.0,4.0,10.0,?,?,?,?,?,?,?,?,5,"(0.0798, 0.0911]",0.0798,0.0911,"(0.0655, 0.0779]",0.0655,0.0779,"(0.441, 0.495]",0.441,0.495,"(0.436, 1.766]",0.436,1.766,"(28.797, 33.996]",28.796999999999997,33.996,"(0.118, 0.13]",0.118,0.13,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.127, 0.152]",0.127,0.152,"(17.836, 18.108]",17.836,18.108,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterPatroclus,Cebriones,BitiasSub,,
  5511 Cloanthus (1988 TH1),4.0,5.0,3.0,3.0,4.0,5.0,3.0,5.0,12.0,?,?,?,?,?,7.0,4.0,4.0,5,"(0.0458, 0.0571]",0.0458,0.0571,"(0.0655, 0.0779]",0.0655,0.0779,"(0.172, 0.226]",0.172,0.226,"(0.436, 1.766]",0.436,1.766,"(23.599, 28.797]",23.599,28.796999999999997,"(0.0833, 0.095]",0.0833,0.095,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.152, 0.177]",0.152,0.177,"(18.381, 18.653]",18.381,18.653,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"(0.351, 0.398]",0.35100000000000003,0.398,"(0.549, 0.669]",0.5489999999999999,0.669,"(0.0753, 0.177]",0.0753,0.177,GreaterPatroclus,-,-,D,Bendjoya2004
  6002 (1988 RO),2.0,5.0,4.0,2.0,1.0,4.0,4.0,4.0,11.0,?,?,?,?,?,?,?,?,5,"(0.0232, 0.0345]",0.0232,0.0345,"(0.0655, 0.0779]",0.0655,0.0779,"(0.226, 0.28]",0.226,0.28,"(-0.895, 0.436]",-0.895,0.436,"(8.002, 13.201]",8.002,13.200999999999999,"(0.0717, 0.0833]",0.0717,0.0833,"(0.148, 0.171]",0.14800000000000002,0.171,"(0.127, 0.152]",0.127,0.152,"(18.108, 18.381]",18.108,18.381,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterPatroclus,Memnon,-,,
  6997 Laomedon (3104 T-3),2.0,7.0,5.0,3.0,2.0,5.0,5.0,5.0,12.0,4.0,7.0,4.0,10.0,9.0,?,?,?,5,"(0.0232, 0.0345]",0.0232,0.0345,"(0.0903, 0.103]",0.0903,0.10300000000000001,"(0.28, 0.334]",0.28,0.33399999999999996,"(0.436, 1.766]",0.436,1.766,"(13.201, 18.4]",13.200999999999999,18.4,"(0.0833, 0.095]",0.0833,0.095,"(0.171, 0.194]",0.171,0.194,"(0.152, 0.177]",0.152,0.177,"(18.381, 18.653]",18.381,18.653,"(0.787, 0.857]",0.787,0.857,"(1.405, 1.515]",1.405,1.515,"(0.567, 0.633]",0.5670000000000001,0.633,"(0.29, 0.312]",0.29,0.312,"(0.05, 0.117]",0.05,0.117,-,-,-,-,-,-,-,-,-,GreaterPatroclus,-,-,D,Hasselmann2012
  9023 Mnesthus (1988 RG1),6.0,1.0,7.0,3.0,5.0,4.0,3.0,4.0,10.0,?,?,?,?,?,?,?,?,5,"(0.0684, 0.0798]",0.0684,0.0798,"(0.0161, 0.0284]",0.0161,0.0284,"(0.387, 0.441]",0.387,0.441,"(0.436, 1.766]",0.436,1.766,"(28.797, 33.996]",28.796999999999997,33.996,"(0.0717, 0.0833]",0.0717,0.0833,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.127, 0.152]",0.127,0.152,"(17.836, 18.108]",17.836,18.108,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterPatroclus,Cebriones,-,,
 11275 (1988 SL3),1.0,4.0,7.0,2.0,1.0,4.0,4.0,5.0,?,?,?,?,?,?,?,?,?,5,"(0.0119, 0.0232]",0.0119,0.0232,"(0.0532, 0.0655]",0.0532,0.0655,"(0.387, 0.441]",0.387,0.441,"(-0.895, 0.436]",-0.895,0.436,"(8.002, 13.201]",8.002,13.200999999999999,"(0.0717, 0.0833]",0.0717,0.0833,"(0.148, 0.171]",0.14800000000000002,0.171,"(0.152, 0.177]",0.152,0.177,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterPatroclus,Memnon,AmphiosSub,,
 11509 Thersilochos (1990 VL6),2.0,7.0,5.0,3.0,2.0,3.0,3.0,4.0,11.0,?,?,?,?,?,?,?,?,5,"(0.0232, 0.0345]",0.0232,0.0345,"(0.0903, 0.103]",0.0903,0.10300000000000001,"(0.28, 0.334]",0.28,0.33399999999999996,"(0.436, 1.766]",0.436,1.766,"(13.201, 18.4]",13.200999999999999,18.4,"(0.06, 0.0717]",0.06,0.0717,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.127, 0.152]",0.127,0.152,"(18.108, 18.381]",18.108,18.381,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterPatroclus,-,-,,
