full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
   624 Hektor (1907 XM),0.0877,0.0544,0.3259,3.38582534374505,39.486365904512,0.025,0.155,0.136,15.1133454085921,?,?,?,?,?,0.2257365,0.492976,?,4,GreaterHektor,Hektor,-,,
  1583 Antilochus (1950 SA),0.1065,0.0187,0.4857,5.45949919286029,53.4679104481866,0.054,0.135,0.09,16.203213394493,?,?,?,?,?,?,?,?,4,GreaterHektor,Hektor,-,D,Tholin1989
  2920 Automedon (1981 JR),0.0986,0.0165,0.3731,4.89998702425301,47.205650845065406,0.068,0.147,0.118,16.6266645609809,?,?,?,?,?,?,?,?,4,GreaterHektor,Hektor,-,,
  3801 Thrasymedes (1985 VS),0.1114,0.0186,0.4859,4.34243243230064,49.7026563354216,0.066,0.159,0.159,?,?,?,?,?,?,?,?,?,4,GreaterHektor,Hektor,-,,
  4489 (1988 AK),0.0995,0.0295,0.3553,3.3414171739295093,41.7220174833763,0.069,0.145,0.128,16.9616431829342,0.85,1.43,0.630000000000001,0.25,0.16,?,?,?,4,GreaterHektor,Hektor,-,D,Hasselmann2012
  5285 Krethon (1989 EO11),0.1107,0.0176,0.4065,6.0266605037485,53.6330296511563,0.079,0.137,0.137,18.0981285940267,?,?,?,?,?,?,?,?,4,GreaterHektor,Hektor,-,XD,Bendjoya2004
  6090 (1989 DJ),0.1033,0.0215,0.365,3.6595700466952,43.5405266260413,0.087,0.145,0.169,17.5824527194806,?,?,?,?,?,?,?,?,4,GreaterHektor,Hektor,-,D,Bendjoya2004
  6545 (1986 TR6),0.102,0.006999999999999999,0.2309,6.03009823475408,47.7417874177499,0.068,0.127,0.109,18.0078175854498,0.810000000000002,1.38,0.59,0.280000000000001,0.149999999999999,?,?,?,4,GreaterHektor,Hektor,-,D,Fornasier2007
 11429 Demodokus (4655 P-L),0.1056,0.0253,0.2988,4.21280101079903,43.798836984671,0.086,0.155,0.155,18.2976134205365,?,?,?,?,?,?,?,?,4,GreaterHektor,Hektor,-,,
 12916 Eteoneus (1998 TL15),0.1112,0.0218,0.4539,4.818347159693031,50.3037381597308,0.098,0.196,0.196,?,?,?,?,?,?,?,?,?,4,GreaterHektor,Hektor,-,,
 22035 (1999 XR170),0.0912,0.057,0.3063,3.3697666492431497,37.4625273127711,0.079,0.157,0.157,?,?,?,?,?,?,0.0212735,1.0881205,?,4,GreaterHektor,Hektor,-,,
 24275 (1999 XW167),0.0888,0.0503,0.2396,4.20247509912548,39.9663735811263,0.08,0.159,0.159,?,?,?,?,?,?,?,?,?,4,GreaterHektor,Hektor,-,,
 41379 (2000 AS105),0.0965,0.0359,0.4116,4.8041584063741904,49.942761216261395,0.061,0.164,0.164,?,?,?,?,?,?,0.422853,0.532533,?,4,GreaterHektor,Hektor,-,,
 42230 (2001 DE108),0.0907,0.0506,0.2402,4.32704324374784,41.08567531691789,0.111,?,?,?,0.760000000000002,1.24,0.549999999999997,0.220000000000002,0.199999999999999,?,?,?,4,GreaterHektor,Hektor,-,,
129602 (1997 WA12),0.0888,0.0673,0.3012,3.784775848512661,38.49452808138821,0.113,?,?,?,0.77,1.6,0.559999999999999,0.27,0.09,?,?,?,4,GreaterHektor,Hektor,-,,
163702 (2003 FR72),0.1024,0.0473,0.3242,3.88133373971815,42.6939648138435,0.127,?,?,?,0.729999999999997,1.39,0.510000000000002,0.189999999999998,0.16,?,?,?,4,GreaterHektor,Hektor,-,,
224020 (2005 JL160),0.114,0.0316,0.4805,5.750409690829638,54.7960526275661,?,?,?,?,?,?,?,?,?,0.436203,0.5057065,?,4,GreaterHektor,Hektor,-,,
