full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
 63257 (2001 BJ79),0.0144,0.0146,0.2023,60.0065725800039,9.283599782650633,0.137,?,?,?,0.740000000000002,1.59,0.539999999999999,0.170000000000002,0.079999999999998,?,?,?,4,GreaterOdysseus,Odysseus,-,,
 63259 (2001 BS81),0.0644,0.0695,0.0458,63.239945397431406,30.7539982204188,?,?,?,?,0.746666666666667,1.55,0.536666666666666,0.193333333333333,0.096666666666666,?,?,?,4,GreaterDiomedes,Philoctetes,AndraimonSub,,
 63265 (2001 CP12),0.0265,0.0947,0.1196,61.474838142609606,14.9670097123021,0.062,?,?,?,0.799999999999997,1.51,0.59,0.25,0.199999999999999,?,?,?,4,GreaterAchilles,-,-,D,Hasselmann2012
 63272 (2001 CC49),0.045,0.0078,0.1479,60.69613048361779,18.2897267009471,?,?,?,?,0.789999999999999,1.5,0.580000000000002,0.199999999999999,0.16,?,?,?,4,GreaterOdysseus,Odysseus,-,,
 63286 (2001 DZ68),0.099,0.0723,0.1081,65.93981498701311,43.562855692467096,0.099,?,?,?,0.860000000000003,1.42,0.640000000000001,0.18,0.080000000000002,?,?,?,4,GreaterDiomedes,Philoctetes,AndraimonSub,,
 63290 (2001 DS87),0.0805,0.102,0.0939,64.130739858184,33.2293555420425,?,?,?,?,0.509999999999998,1.52,0.299999999999997,0.220000000000002,0.07,?,?,?,4,GreaterNestor,-,-,,
 63291 (2001 DU87),0.0942,0.0553,0.1201,65.56166399763471,43.9054699758737,0.116,?,?,?,0.739999999999998,1.32,0.530000000000001,0.209999999999997,0.100000000000001,?,?,?,4,GreaterDiomedes,Philoctetes,-,,
 63292 (2001 DQ89),0.0319,0.0181,0.2157,60.400955097959994,15.475035559511197,0.094,?,?,?,0.720000000000002,1.48,0.510000000000002,0.169999999999998,0.080000000000002,0.4837335,0.363095,?,4,GreaterOdysseus,Odysseus,-,,
 63294 (2001 DQ90),0.0942,0.0158,0.5184,63.0868503762981,47.4903134586043,?,?,?,?,0.829999999999999,1.6675,0.612499999999999,0.2975,0.142499999999999,?,?,?,4,-,Agamemnon,-,,
 65000 (2002 AV63),0.0662,0.0563,0.3292,62.1954230062714,32.258293231683695,0.056,?,?,?,0.770000000000001,1.43,0.554999999999998,0.24,0.15,?,?,?,4,GreaterTelamon,Telamon,-,,
 65111 (2002 CG40),0.0216,0.0656,0.2734,60.015148044847095,7.302835423402429,0.088,?,?,?,?,?,?,?,?,0.3802185,0.5576995,?,4,GreaterAchilles,Epeios,-,,
 65134 (2002 CH96),0.0042,0.1009,0.011,61.2750832716599,6.27990992419049,?,?,?,?,0.670000000000002,1.55,0.469999999999999,0.210000000000001,-0.039999999999999,?,?,?,4,-,Halitherses,-,,
 65194 (2002 CV264),0.083,0.0586,0.2728,63.785494410967,39.9360826620595,0.081,?,?,?,0.805,1.48,0.59,0.289999999999999,0.115,?,?,?,4,-,-,-,D,Hasselmann2012
 65209 (2002 DB17),0.0827,0.0463,0.2793,63.5526470546461,39.2728967527387,?,?,?,?,0.830000000000002,1.38,0.620000000000001,0.23,0.18,?,?,?,4,GreaterDiomedes,-,-,,
