full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,da_p-intv,da_p-left,da_p-right,e_p-intv,e_p-left,e_p-right,sini_p-intv,sini_p-left,sini_p-right,MeanLib-intv,MeanLib-left,MeanLib-right,LibRange-intv,LibRange-left,LibRange-right,albedo-intv,albedo-left,albedo-right,W1Alb-intv,W1Alb-left,W1Alb-right,W2Alb-intv,W2Alb-left,W2Alb-right,g_mag-mean-intv,g_mag-mean-left,g_mag-mean-right,(b - v)-intv,(b - v)-left,(b - v)-right,(u - g)-intv,(u - g)-left,(u - g)-right,(g - r)-intv,(g - r)-left,(g - r)-right,(r - i)-intv,(r - i)-left,(r - i)-right,(i - z)-intv,(i - z)-left,(i - z)-right,(Y - J)-intv,(Y - J)-left,(Y - J)-right,(J - Ks)-intv,(J - Ks)-left,(J - Ks)-right,(H - Ks)-intv,(H - Ks)-left,(H - Ks)-right,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  5258 (1989 AU1),7.0,4.0,2.0,5.0,5.0,2.0,2.0,3.0,9.0,?,?,?,?,?,?,?,?,4,"(0.0798, 0.0911]",0.0798,0.0911,"(0.0532, 0.0655]",0.0532,0.0655,"(0.119, 0.172]",0.11900000000000001,0.172,"(3.096, 4.427]",3.096,4.427,"(28.797, 33.996]",28.796999999999997,33.996,"(0.0483, 0.06]",0.0483,0.06,"(0.102, 0.125]",0.102,0.125,"(0.102, 0.127]",0.102,0.127,"(17.564, 17.836]",17.564,17.836,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterAjax,Eurybates,AniusSub,DX,Bendjoya2004
  8060 Anius (1973 SD1),7.0,4.0,2.0,6.0,6.0,2.0,1.0,2.0,?,?,?,?,?,?,?,?,?,4,"(0.0798, 0.0911]",0.0798,0.0911,"(0.0532, 0.0655]",0.0532,0.0655,"(0.119, 0.172]",0.11900000000000001,0.172,"(4.427, 5.757]",4.427,5.7570000000000014,"(33.996, 39.195]",33.996,39.195,"(0.0483, 0.06]",0.0483,0.06,"(0.0789, 0.102]",0.0789,0.102,"(0.0776, 0.102]",0.0776,0.102,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterAjax,Eurybates,AniusSub,,
 12917 (1998 TG16),7.0,3.0,3.0,5.0,6.0,5.0,8.0,8.0,?,?,?,?,?,?,?,?,?,4,"(0.0798, 0.0911]",0.0798,0.0911,"(0.0408, 0.0532]",0.0408,0.0532,"(0.172, 0.226]",0.172,0.226,"(3.096, 4.427]",3.096,4.427,"(33.996, 39.195]",33.996,39.195,"(0.0833, 0.095]",0.0833,0.095,"(0.239, 0.262]",0.239,0.262,"(0.226, 0.251]",0.226,0.251,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterAjax,Eurybates,AniusSub,D,Fornasier2007
 18060 (1999 XJ156),7.0,3.0,2.0,5.0,6.0,2.0,2.0,3.0,?,2.0,9.0,2.0,6.0,9.0,?,?,?,4,"(0.0798, 0.0911]",0.0798,0.0911,"(0.0408, 0.0532]",0.0408,0.0532,"(0.119, 0.172]",0.11900000000000001,0.172,"(3.096, 4.427]",3.096,4.427,"(33.996, 39.195]",33.996,39.195,"(0.0483, 0.06]",0.0483,0.06,"(0.102, 0.125]",0.102,0.125,"(0.102, 0.127]",0.102,0.127,-,-,-,"(0.649, 0.718]",0.649,0.718,"(1.626, 1.737]",1.626,1.737,"(0.433, 0.5]",0.433,0.5,"(0.201, 0.223]",0.201,0.223,"(0.05, 0.117]",0.05,0.117,-,-,-,-,-,-,-,-,-,GreaterAjax,Eurybates,AniusSub,X,Fornasier2007
111932 (2002 GG33),6.0,4.0,2.0,5.0,6.0,?,?,?,?,5.0,7.0,5.0,7.0,10.0,?,?,?,4,"(0.0684, 0.0798]",0.0684,0.0798,"(0.0532, 0.0655]",0.0532,0.0655,"(0.119, 0.172]",0.11900000000000001,0.172,"(3.096, 4.427]",3.096,4.427,"(33.996, 39.195]",33.996,39.195,-,-,-,-,-,-,-,-,-,-,-,-,"(0.857, 0.926]",0.857,0.926,"(1.405, 1.515]",1.405,1.515,"(0.633, 0.7]",0.633,0.7,"(0.223, 0.245]",0.223,0.245,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,GreaterAjax,Eurybates,AniusSub,,
