,n,da_p-range,e_p-range,sini_p-range,MeanLib-range,LibRange-range,albedo-range,W1Alb-range,W2Alb-range,g_mag-mean-range,(b - v)-range,(u - g)-range,(g - r)-range,(r - i)-range,(i - z)-range,(Y - J)-range,(J - Ks)-range,(H - Ks)-range,da_p-min,e_p-min,sini_p-min,MeanLib-min,LibRange-min,albedo-min,W1Alb-min,W2Alb-min,g_mag-mean-min,(b - v)-min,(u - g)-min,(g - r)-min,(r - i)-min,(i - z)-min,(Y - J)-min,(J - Ks)-min,(H - Ks)-min,da_p-max,e_p-max,sini_p-max,MeanLib-max,LibRange-max,albedo-max,W1Alb-max,W2Alb-max,g_mag-mean-max,(b - v)-max,(u - g)-max,(g - r)-max,(r - i)-max,(i - z)-max,(Y - J)-max,(J - Ks)-max,(H - Ks)-max
ErichthoniosSub,5,0.07-0.1,0.03-0.07,0.01-0.17,295.12-297.46,27.18-36.93,0.08-0.12,0.13-0.24,0.15-0.25,-,0.69-0.82,1.51-1.62,0.48-0.62,0.18-0.31,0.07-0.18,0.41-0.46,0.72-0.81,-,0.0723,0.028999999999999998,0.0125,295.115,27.178,0.0761,0.133,0.152,,0.695,1.51,0.48,0.179,0.0673,0.414,0.716,,0.095,0.0659,0.17,297.45799999999997,36.928000000000004,0.121,0.244,0.251,,0.823,1.62,0.62,0.312,0.177,0.45799999999999996,0.809,
DolonSub,11,0.06-0.11,0.0-0.05,0.17-0.48,295.12-297.46,32.05-51.55,0.03-0.14,0.11-0.29,0.13-0.3,17.67-17.93,0.72-0.76,1.51-1.62,0.5-0.54,0.18-0.22,0.07-0.18,0.19-0.46,0.62-0.9,0.62-0.71,0.061,0.00412,0.17,295.115,32.053000000000004,0.0308,0.111,0.127,17.669,0.7170000000000001,1.51,0.5,0.179,0.0673,0.18899999999999997,0.624,0.617,0.106,0.0536,0.483,297.45799999999997,51.553000000000004,0.14400000000000002,0.289,0.301,17.928,0.759,1.62,0.54,0.223,0.177,0.45799999999999996,0.9009999999999999,0.7140000000000001
Apisaon,9,0.06-0.11,0.05-0.13,0.22-0.38,293.94-297.46,27.18-51.55,0.08-0.1,0.13-0.2,0.15-0.2,18.19-18.7,0.69-0.8,0.96-1.62,0.48-0.6,0.18-0.29,0.07-0.18,-,-,-,0.061,0.0536,0.222,293.943,27.178,0.0761,0.133,0.152,18.186,0.695,0.96,0.48,0.179,0.0673,,,,0.106,0.128,0.379,297.45799999999997,51.553000000000004,0.0986,0.2,0.20199999999999999,18.703,0.802,1.62,0.6,0.29,0.177,,,
Khryses,8,0.04-0.05,0.09-0.18,0.01-0.22,295.12-298.63,17.43-27.18,0.04-0.14,0.09-0.18,0.08-0.18,18.19-18.7,0.72-0.8,1.29-1.73,0.5-0.58,0.18-0.27,0.07-0.23,0.32-0.37,0.72-0.81,0.23-0.33,0.0383,0.0906,0.0125,295.115,17.428,0.0423,0.0883,0.0776,18.186,0.7170000000000001,1.29,0.5,0.179,0.0673,0.324,0.716,0.231,0.0497,0.177,0.222,298.629,27.178,0.14400000000000002,0.177,0.177,18.703,0.802,1.73,0.58,0.267,0.231,0.369,0.809,0.32799999999999996
1999RU12,5,0.06-0.1,0.12-0.19,0.12-0.27,290.43-296.29,27.18-46.68,0.04-0.1,0.18-0.2,0.18-0.2,-,0.74-0.82,1.29-1.84,0.52-0.6,0.14-0.29,0.01-0.23,-,-,-,0.061,0.115,0.11800000000000001,290.42900000000003,27.178,0.0423,0.177,0.177,,0.738,1.29,0.52,0.135,0.0127,,,,0.095,0.18899999999999997,0.27399999999999997,296.286,46.678000000000004,0.0986,0.2,0.20199999999999999,,0.823,1.84,0.6,0.29,0.231,,,
1990VU1,21,0.06-0.1,0.04-0.14,0.01-0.43,295.12-298.63,22.3-41.8,0.04-0.14,0.09-0.15,0.08-0.15,17.67-18.19,0.74-0.89,1.07-1.62,0.54-0.68,0.11-0.31,0.07-0.29,0.28-0.37,0.25-1.09,-0.16-0.71,0.061,0.0413,0.0125,295.115,22.303,0.0423,0.0883,0.0776,17.669,0.738,1.07,0.54,0.113,0.0673,0.27899999999999997,0.254,-0.156,0.095,0.14,0.431,298.629,41.803000000000004,0.14400000000000002,0.155,0.152,18.186,0.887,1.62,0.68,0.312,0.28600000000000003,0.369,1.0859999999999999,0.7140000000000001
1990VU1Sub,7,0.06-0.08,0.08-0.14,0.01-0.38,296.29-297.46,22.3-36.93,0.06-0.14,0.13-0.15,0.13-0.15,17.67-17.93,0.76-0.87,1.07-1.62,0.54-0.64,0.18-0.27,0.12-0.23,0.28-0.32,0.35-0.44,-0.16--0.06,0.061,0.0783,0.0125,296.286,22.303,0.0648,0.133,0.127,17.669,0.759,1.07,0.54,0.179,0.122,0.27899999999999997,0.34600000000000003,-0.156,0.0837,0.14,0.379,297.45799999999997,36.928000000000004,0.14400000000000002,0.155,0.152,17.928,0.866,1.62,0.64,0.267,0.231,0.324,0.439,-0.057999999999999996
IdaiosSub,8,0.07-0.1,0.04-0.09,0.22-0.38,296.29-298.63,27.18-36.93,0.04-0.09,0.09-0.15,0.08-0.15,17.67-18.19,0.78-0.89,1.29-1.62,0.58-0.68,0.2-0.31,0.07-0.29,0.32-0.37,0.25-0.44,-0.06-0.04,0.0723,0.0413,0.222,296.286,27.178,0.0423,0.0883,0.0776,17.669,0.7809999999999999,1.29,0.58,0.201,0.0673,0.324,0.254,-0.057999999999999996,0.095,0.0906,0.379,298.629,36.928000000000004,0.0873,0.155,0.152,18.186,0.887,1.62,0.68,0.312,0.28600000000000003,0.369,0.439,0.0385
Anchises,8,0.08-0.12,0.05-0.12,0.01-0.27,291.6-296.29,32.05-51.55,0.04-0.08,0.09-0.15,0.05-0.15,16.64-18.7,0.69-0.93,1.29-2.06,0.48-0.7,0.2-0.27,-0.1-0.29,0.23-0.32,0.44-0.53,-,0.0837,0.0536,0.0125,291.601,32.053000000000004,0.0423,0.0883,0.0528,16.635,0.695,1.29,0.48,0.201,-0.0967,0.23399999999999999,0.439,,0.11800000000000001,0.115,0.27399999999999997,296.286,51.553000000000004,0.0761,0.155,0.152,18.703,0.93,2.06,0.7,0.267,0.28600000000000003,0.324,0.531,
GreaterAneas,64,0.04-0.12,0.0-0.09,0.01-0.69,293.94-302.14,17.43-46.68,0.04-0.18,0.09-0.24,0.05-0.25,15.86-18.19,0.65-0.89,0.96-2.28,0.44-0.68,0.07-0.4,-0.04-0.34,0.05-0.59,0.35-1.09,-0.06-0.62,0.0383,0.00412,0.0125,293.943,17.428,0.0423,0.0883,0.0528,15.856,0.653,0.96,0.44,0.0682,-0.042,0.0543,0.34600000000000003,-0.057999999999999996,0.11800000000000001,0.0906,0.6920000000000001,302.143,46.678000000000004,0.177,0.244,0.251,18.186,0.887,2.28,0.68,0.4,0.341,0.593,1.0859999999999999,0.617
1988RH13,6,0.07-0.1,0.05-0.07,0.12-0.38,295.12-297.46,32.05-46.68,0.04-0.1,0.09-0.15,0.1-0.15,17.41-17.67,0.76-0.78,1.4-1.51,0.54-0.56,0.11-0.14,0.07-0.12,0.37-0.59,0.62-1.09,0.52-0.62,0.0723,0.0536,0.11800000000000001,295.115,32.053000000000004,0.0423,0.0883,0.102,17.410999999999998,0.759,1.4,0.54,0.113,0.0673,0.369,0.624,0.521,0.095,0.0659,0.379,297.45799999999997,46.678000000000004,0.0986,0.155,0.152,17.669,0.7809999999999999,1.51,0.56,0.135,0.122,0.593,1.0859999999999999,0.617
1994CO,5,0.06-0.12,0.04-0.07,0.01-0.17,293.94-297.46,32.05-46.68,0.05-0.11,0.18-0.22,0.18-0.23,17.67-17.93,0.76-0.78,1.29-1.73,0.54-0.56,0.16-0.27,0.07-0.34,0.19-0.28,0.44-0.53,-,0.061,0.0413,0.0125,293.943,32.053000000000004,0.0535,0.177,0.177,17.669,0.759,1.29,0.54,0.157,0.0673,0.18899999999999997,0.439,,0.11800000000000001,0.0659,0.17,297.45799999999997,46.678000000000004,0.11,0.222,0.226,17.928,0.7809999999999999,1.73,0.56,0.267,0.341,0.27899999999999997,0.531,
1989UQ5,5,0.08-0.1,0.02-0.04,0.01-0.17,295.12-296.29,36.93-41.8,0.05-0.09,-,-,-,0.8-0.84,0.96-1.51,0.58-0.64,0.22-0.31,0.01-0.23,0.05-0.1,0.9-0.99,-,0.0837,0.0166,0.0125,295.115,36.928000000000004,0.0535,,,,0.802,0.96,0.58,0.223,0.0127,0.0543,0.9009999999999999,,0.095,0.0413,0.17,296.286,41.803000000000004,0.0873,,,,0.845,1.51,0.64,0.312,0.231,0.0998,0.9940000000000001,
Sarpedon,17,0.05-0.08,0.0-0.07,0.12-0.38,296.29-298.63,22.3-41.8,0.04-0.18,0.11-0.24,0.08-0.25,-,0.65-0.89,1.07-2.06,0.44-0.66,0.11-0.33,-0.04-0.29,0.1-0.55,0.35-0.99,0.14-0.52,0.0497,0.00412,0.11800000000000001,296.286,22.303,0.0423,0.111,0.0776,,0.653,1.07,0.44,0.113,-0.042,0.0998,0.34600000000000003,0.135,0.0837,0.0659,0.379,298.629,41.803000000000004,0.177,0.244,0.251,,0.887,2.06,0.66,0.33399999999999996,0.28600000000000003,0.5479999999999999,0.9940000000000001,0.521
HippokoonSub,5,0.05-0.08,0.0-0.02,0.12-0.17,296.29-298.63,22.3-36.93,0.09-0.18,0.2-0.24,0.18-0.25,-,0.72-0.84,1.29-1.62,0.5-0.62,0.18-0.24,-0.04-0.29,-,-,-,0.0497,0.00412,0.11800000000000001,296.286,22.303,0.0873,0.2,0.177,,0.7170000000000001,1.29,0.5,0.179,-0.042,,,,0.0837,0.0166,0.17,298.629,36.928000000000004,0.177,0.244,0.251,,0.845,1.62,0.62,0.245,0.28600000000000003,,,
SarpedonSub,11,0.06-0.08,0.0-0.07,0.12-0.38,296.29-298.63,27.18-36.93,0.04-0.1,0.11-0.18,0.08-0.2,-,0.65-0.89,1.07-2.06,0.44-0.66,0.11-0.33,0.07-0.18,0.1-0.55,0.35-0.99,0.14-0.52,0.061,0.00412,0.11800000000000001,296.286,27.178,0.0423,0.111,0.0776,,0.653,1.07,0.44,0.113,0.0673,0.0998,0.34600000000000003,0.135,0.0837,0.0659,0.379,298.629,36.928000000000004,0.0986,0.177,0.20199999999999999,,0.887,2.06,0.66,0.33399999999999996,0.177,0.5479999999999999,0.9940000000000001,0.521
Aneas,26,0.04-0.08,0.02-0.09,0.22-0.69,296.29-302.14,17.43-41.8,0.04-0.11,0.09-0.22,0.05-0.23,15.86-18.19,0.69-0.84,1.4-2.28,0.5-0.64,0.07-0.38,0.01-0.29,0.28-0.37,0.44-0.62,-0.06-0.23,0.0383,0.0166,0.222,296.286,17.428,0.0423,0.0883,0.0528,15.856,0.695,1.4,0.5,0.0682,0.0127,0.27899999999999997,0.439,-0.057999999999999996,0.0837,0.0906,0.6920000000000001,302.143,41.803000000000004,0.11,0.222,0.226,18.186,0.845,2.28,0.64,0.37799999999999995,0.28600000000000003,0.369,0.624,0.231
HelicaonSub,5,0.06-0.07,0.05-0.09,0.33-0.43,297.46-298.63,27.18-36.93,0.04-0.11,0.11-0.22,0.1-0.23,-,0.82-0.84,1.4-1.84,0.62-0.64,0.18-0.2,0.18-0.29,0.32-0.37,0.44-0.53,0.04-0.14,0.061,0.0536,0.327,297.45799999999997,27.178,0.0423,0.111,0.102,,0.823,1.4,0.62,0.179,0.177,0.324,0.439,0.0385,0.0723,0.0906,0.431,298.629,36.928000000000004,0.11,0.222,0.226,,0.845,1.84,0.64,0.201,0.28600000000000003,0.369,0.531,0.135
IphidamasSub,5,0.05-0.08,0.04-0.09,0.33-0.54,298.63-299.8,22.3-36.93,0.08-0.09,0.15-0.2,0.15-0.2,17.67-17.93,0.8-0.84,1.4-1.51,0.6-0.64,0.22-0.27,0.12-0.18,0.28-0.32,0.44-0.62,0.14-0.23,0.0497,0.0413,0.327,298.629,22.303,0.0761,0.155,0.152,17.669,0.802,1.4,0.6,0.223,0.122,0.27899999999999997,0.439,0.135,0.0837,0.0906,0.536,299.801,36.928000000000004,0.0873,0.2,0.20199999999999999,17.928,0.845,1.51,0.64,0.267,0.177,0.324,0.624,0.231
AneasSub,8,0.04-0.07,0.02-0.07,0.27-0.69,298.63-302.14,17.43-36.93,0.04-0.08,0.09-0.15,0.08-0.15,17.67-18.19,0.69-0.84,1.4-2.28,0.5-0.62,0.07-0.38,0.01-0.23,-,-,-,0.0383,0.0166,0.27399999999999997,298.629,17.428,0.0423,0.0883,0.0776,17.669,0.695,1.4,0.5,0.0682,0.0127,,,,0.0723,0.0659,0.6920000000000001,302.143,36.928000000000004,0.0761,0.155,0.152,18.186,0.845,2.28,0.62,0.37799999999999995,0.231,,,
GreaterAstyanax,80,0.07-0.15,0.0-0.09,0.01-0.54,285.73-297.46,32.05-71.05,0.03-0.2,0.07-0.4,0.03-0.4,15.86-18.7,0.65-0.91,1.18-1.95,0.44-0.68,0.07-0.4,-0.26-0.29,0.05-0.46,0.07-1.18,0.04-0.81,0.0723,0.00412,0.0125,285.726,32.053000000000004,0.0308,0.0657,0.0276,15.856,0.653,1.18,0.44,0.0682,-0.261,0.0543,0.0678,0.0385,0.152,0.0906,0.536,297.45799999999997,71.05199999999999,0.2,0.4,0.4,18.703,0.909,1.95,0.68,0.4,0.28600000000000003,0.45799999999999996,1.178,0.81
Mentor,20,0.07-0.12,0.02-0.09,0.12-0.54,292.77-297.46,32.05-61.3,0.04-0.11,0.07-0.2,0.03-0.2,15.86-18.7,0.72-0.89,1.29-1.84,0.48-0.68,0.16-0.4,0.01-0.29,0.23-0.46,0.53-0.72,0.04-0.23,0.0723,0.0166,0.11800000000000001,292.772,32.053000000000004,0.0423,0.0657,0.0276,15.856,0.7170000000000001,1.29,0.48,0.157,0.0127,0.23399999999999999,0.531,0.0385,0.11800000000000001,0.0906,0.536,297.45799999999997,61.303000000000004,0.11,0.2,0.20199999999999999,18.703,0.887,1.84,0.68,0.4,0.28600000000000003,0.45799999999999996,0.716,0.231
1988RR10Sub,5,0.07-0.11,0.02-0.04,0.27-0.38,295.12-297.46,32.05-46.68,0.05-0.1,0.11-0.13,0.1-0.13,-,0.78-0.89,1.29-1.84,0.56-0.68,0.24-0.31,0.07-0.29,0.41-0.46,0.53-0.62,0.14-0.23,0.0723,0.0166,0.27399999999999997,295.115,32.053000000000004,0.0535,0.111,0.102,,0.7809999999999999,1.29,0.56,0.245,0.0673,0.414,0.531,0.135,0.106,0.0413,0.379,297.45799999999997,46.678000000000004,0.0986,0.133,0.127,,0.887,1.84,0.68,0.312,0.28600000000000003,0.45799999999999996,0.624,0.231
MentorSub,10,0.1-0.12,0.02-0.09,0.27-0.54,292.77-296.29,46.68-61.3,0.04-0.1,0.07-0.18,0.03-0.18,15.86-18.7,0.72-0.74,1.4-1.51,0.48-0.54,0.16-0.4,0.01-0.29,0.41-0.46,0.53-0.62,0.04-0.14,0.095,0.0166,0.27399999999999997,292.772,46.678000000000004,0.0423,0.0657,0.0276,15.856,0.7170000000000001,1.4,0.48,0.157,0.0127,0.414,0.531,0.0385,0.11800000000000001,0.0906,0.536,296.286,61.303000000000004,0.0986,0.177,0.177,18.703,0.738,1.51,0.54,0.4,0.28600000000000003,0.45799999999999996,0.624,0.135
Helenos,11,0.1-0.13,0.0-0.04,0.07-0.27,292.77-295.12,41.8-51.55,0.04-0.2,0.13-0.4,0.13-0.4,-,0.67-0.84,1.18-1.62,0.46-0.64,0.18-0.31,-0.26-0.23,0.05-0.41,0.16-0.99,0.71-0.81,0.095,0.00412,0.0654,292.772,41.803000000000004,0.0423,0.133,0.127,,0.674,1.18,0.46,0.179,-0.261,0.0543,0.162,0.7140000000000001,0.129,0.0413,0.27399999999999997,295.115,51.553000000000004,0.2,0.4,0.4,,0.845,1.62,0.64,0.312,0.231,0.414,0.9940000000000001,0.81
Astyanax,41,0.1-0.15,0.0-0.09,0.01-0.48,285.73-295.12,41.8-71.05,0.03-0.17,0.09-0.33,0.08-0.33,17.93-18.45,0.65-0.91,1.18-1.95,0.44-0.68,0.07-0.33,-0.1-0.29,0.19-0.46,0.07-1.18,0.14-0.23,0.095,0.00412,0.0125,285.726,41.803000000000004,0.0308,0.0883,0.0776,17.928,0.653,1.18,0.44,0.0682,-0.0967,0.18899999999999997,0.0678,0.135,0.152,0.0906,0.483,295.115,71.05199999999999,0.166,0.33299999999999996,0.326,18.445,0.909,1.95,0.68,0.33399999999999996,0.28600000000000003,0.45799999999999996,1.178,0.231
OphelestesSub,5,0.1-0.12,0.0-0.04,0.12-0.27,293.94-295.12,41.8-51.55,0.04-0.17,0.09-0.33,0.08-0.33,-,0.72-0.8,1.29-1.4,0.5-0.6,0.14-0.24,0.12-0.18,0.32-0.37,0.16-0.25,-,0.095,0.00412,0.11800000000000001,293.943,41.803000000000004,0.0423,0.0883,0.0776,,0.7170000000000001,1.29,0.5,0.135,0.122,0.324,0.162,,0.11800000000000001,0.0413,0.27399999999999997,295.115,51.553000000000004,0.166,0.33299999999999996,0.326,,0.802,1.4,0.6,0.245,0.177,0.369,0.254,
AstyanaxSub,6,0.12-0.13,0.0-0.04,0.12-0.48,290.43-292.77,51.55-66.18,0.03-0.15,0.11-0.24,0.1-0.25,17.93-18.19,0.65-0.87,1.29-1.84,0.44-0.64,0.07-0.29,-0.04-0.29,-,-,-,0.11800000000000001,0.00412,0.11800000000000001,290.42900000000003,51.553000000000004,0.0308,0.111,0.102,17.928,0.653,1.29,0.44,0.0682,-0.042,,,,0.129,0.0413,0.483,292.772,66.178,0.155,0.244,0.251,18.186,0.866,1.84,0.64,0.29,0.28600000000000003,,,
AcamasSub,6,0.13-0.15,0.03-0.08,0.01-0.33,285.73-286.92,66.18-71.05,0.04-0.09,0.09-0.15,0.1-0.15,18.19-18.45,0.69-0.87,1.29-1.62,0.5-0.66,0.14-0.27,0.01-0.18,0.32-0.46,0.07-0.62,-,0.129,0.028999999999999998,0.0125,285.726,66.178,0.0423,0.0883,0.102,18.186,0.695,1.29,0.5,0.135,0.0127,0.324,0.0678,,0.152,0.0783,0.327,286.915,71.05199999999999,0.0873,0.155,0.152,18.445,0.866,1.62,0.66,0.267,0.177,0.45799999999999996,0.624,
1989UX5Sub,9,0.11-0.15,0.03-0.08,0.01-0.12,286.92-291.6,51.55-66.18,0.05-0.09,0.15-0.18,0.15-0.18,-,0.67-0.84,1.18-1.62,0.48-0.64,0.14-0.27,0.01-0.29,0.28-0.46,0.25-1.18,-,0.106,0.028999999999999998,0.0125,286.915,51.553000000000004,0.0535,0.155,0.152,,0.674,1.18,0.48,0.135,0.0127,0.27899999999999997,0.254,,0.152,0.0783,0.11800000000000001,291.601,66.178,0.0873,0.177,0.177,,0.845,1.62,0.64,0.267,0.28600000000000003,0.45799999999999996,1.178,
