,n,da_p-range,e_p-range,sini_p-range,MeanLib-range,LibRange-range,albedo-range,W1Alb-range,W2Alb-range,g_mag-mean-range,(b - v)-range,(u - g)-range,(g - r)-range,(r - i)-range,(i - z)-range,(Y - J)-range,(J - Ks)-range,(H - Ks)-range,da_p-min,e_p-min,sini_p-min,MeanLib-min,LibRange-min,albedo-min,W1Alb-min,W2Alb-min,g_mag-mean-min,(b - v)-min,(u - g)-min,(g - r)-min,(r - i)-min,(i - z)-min,(Y - J)-min,(J - Ks)-min,(H - Ks)-min,da_p-max,e_p-max,sini_p-max,MeanLib-max,LibRange-max,albedo-max,W1Alb-max,W2Alb-max,g_mag-mean-max,(b - v)-max,(u - g)-max,(g - r)-max,(r - i)-max,(i - z)-max,(Y - J)-max,(J - Ks)-max,(H - Ks)-max
Lycomedes,20,0.1-0.16,0.0-0.08,0.01-0.28,65.76-76.4,50.06-75.59,0.05-0.17,0.15-0.35,0.13-0.35,18.11-18.38,0.72-0.93,1.25-1.82,0.5-0.7,0.1-0.31,0.03-0.2,-,-,-,0.098,0.0035399999999999997,0.0102,65.757,50.06100000000001,0.0481,0.146,0.132,18.108,0.718,1.252,0.5,0.0998,0.03,,,,0.159,0.08,0.28,76.399,75.586,0.175,0.35,0.34700000000000003,18.381,0.9259999999999999,1.818,0.7,0.308,0.204,,,
AmphiaraosSub,8,0.14-0.16,0.03-0.05,0.01-0.12,71.08-76.4,60.27-75.59,0.05-0.14,0.15-0.28,0.13-0.28,-,0.72-0.93,1.25-1.82,0.5-0.7,0.13-0.28,0.03-0.2,-,-,-,0.135,0.0255,0.0102,71.078,60.271,0.0481,0.146,0.132,,0.718,1.252,0.5,0.132,0.03,,,,0.159,0.0473,0.11900000000000001,76.399,75.586,0.14,0.282,0.275,,0.9259999999999999,1.818,0.7,0.276,0.204,,,
GreaterTelamon,35,0.01-0.09,0.0-0.07,0.01-0.33,59.1-64.43,9.22-34.75,0.04-0.2,0.1-0.4,0.06-0.4,16.2-19.2,0.65-0.93,1.35-1.72,0.43-0.7,0.16-0.34,-0.03-0.26,0.24-0.33,0.37-0.6,-,0.0128,0.0035399999999999997,0.0102,59.105,9.221,0.0365,0.10099999999999999,0.0599,16.202,0.649,1.347,0.433,0.16399999999999998,-0.027999999999999997,0.243,0.37200000000000005,,0.0858,0.0691,0.33399999999999996,64.42699999999999,34.746,0.198,0.395,0.395,19.197,0.9259999999999999,1.724,0.7,0.34,0.262,0.331,0.602,
Telamon,5,0.05-0.07,0.03-0.07,0.06-0.33,61.77-63.1,24.54-34.75,0.05-0.09,0.1-0.17,0.08-0.16,17.02-18.38,0.72-0.86,1.35-1.44,0.5-0.63,0.16-0.24,0.15-0.26,-,-,-,0.0493,0.0255,0.0648,61.766000000000005,24.535999999999998,0.0481,0.10099999999999999,0.0839,17.019000000000002,0.718,1.347,0.5,0.16399999999999998,0.146,,,,0.0737,0.0691,0.33399999999999996,63.096000000000004,34.746,0.0942,0.16899999999999998,0.156,18.381,0.857,1.4409999999999998,0.633,0.244,0.262,,,
Kalchas,6,0.05-0.09,0.01-0.05,0.01-0.12,61.77-64.43,24.54-34.75,0.04-0.11,0.12-0.15,0.11-0.16,17.84-18.38,0.72-0.86,1.44-1.72,0.5-0.7,0.16-0.23,0.09-0.15,-,-,-,0.0493,0.0146,0.0102,61.766000000000005,24.535999999999998,0.0365,0.124,0.10800000000000001,17.836,0.718,1.4409999999999998,0.5,0.16399999999999998,0.08800000000000001,,,,0.0858,0.0473,0.11900000000000001,64.42699999999999,34.746,0.106,0.146,0.156,18.381,0.857,1.724,0.7,0.228,0.146,,,
Theoklymenos,19,0.01-0.07,0.01-0.06,0.01-0.28,59.1-63.1,9.22-34.75,0.05-0.2,0.12-0.4,0.06-0.4,16.2-18.38,0.65-0.93,1.35-1.63,0.43-0.7,0.16-0.31,-0.03-0.15,0.24-0.33,0.37-0.6,-,0.0128,0.0146,0.0102,59.105,9.221,0.0481,0.124,0.0599,16.202,0.649,1.347,0.433,0.16399999999999998,-0.027999999999999997,0.243,0.37200000000000005,,0.0737,0.0582,0.28,63.096000000000004,34.746,0.198,0.395,0.395,18.381,0.9259999999999999,1.63,0.7,0.308,0.146,0.331,0.602,
MakhaonSub,5,0.04-0.06,0.05-0.06,0.17-0.28,60.44-63.1,19.43-29.64,0.05-0.07,0.12-0.15,0.08-0.16,16.2-17.84,0.65-0.72,1.44-1.53,0.43-0.5,0.24-0.26,0.09-0.15,0.24-0.29,0.49-0.6,-,0.0371,0.0473,0.172,60.43600000000001,19.430999999999997,0.0481,0.124,0.0839,16.202,0.649,1.4409999999999998,0.433,0.244,0.08800000000000001,0.243,0.48700000000000004,,0.0615,0.0582,0.28,63.096000000000004,29.641,0.0711,0.146,0.156,17.836,0.718,1.535,0.5,0.26,0.146,0.287,0.602,
GreaterOdysseus,36,0.01-0.09,0.0-0.09,0.01-0.28,59.1-64.43,9.22-34.75,0.05-0.17,0.1-0.35,0.08-0.35,15.93-18.65,0.65-1.55,1.25-1.72,0.43-1.3,0.15-0.26,-0.55-0.26,0.24-0.69,0.14-1.18,-,0.0128,0.0035399999999999997,0.0102,59.105,9.221,0.0481,0.10099999999999999,0.0839,15.93,0.649,1.252,0.433,0.14800000000000002,-0.551,0.243,0.14,,0.0858,0.091,0.28,64.42699999999999,34.746,0.175,0.35,0.34700000000000003,18.653,1.55,1.724,1.3,0.26,0.262,0.685,1.178,
Epistrophos,5,0.04-0.06,0.03-0.08,0.23-0.28,60.44-61.77,14.33-24.54,0.05-0.06,-,-,-,0.72-0.86,1.35-1.44,0.5-0.7,0.23-0.26,-0.03-0.2,0.24-0.69,0.83-1.18,-,0.0371,0.0255,0.226,60.43600000000001,14.325999999999999,0.0481,,,,0.718,1.347,0.5,0.228,-0.027999999999999997,0.243,0.8320000000000001,,0.0615,0.08,0.28,61.766000000000005,24.535999999999998,0.0596,,,,0.857,1.4409999999999998,0.7,0.26,0.204,0.685,1.178,
Odysseus,20,0.01-0.06,0.0-0.07,0.01-0.23,59.1-61.77,9.22-24.54,0.05-0.17,0.1-0.35,0.08-0.35,15.93-18.65,0.65-0.86,1.25-1.63,0.43-0.63,0.15-0.26,0.03-0.26,0.46-0.51,0.26-0.37,-,0.0128,0.0035399999999999997,0.0102,59.105,9.221,0.0481,0.10099999999999999,0.0839,15.93,0.649,1.252,0.433,0.14800000000000002,0.03,0.46399999999999997,0.257,,0.0615,0.0691,0.226,61.766000000000005,24.535999999999998,0.175,0.35,0.34700000000000003,18.653,0.857,1.63,0.633,0.26,0.262,0.508,0.37200000000000005,
