full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,da_p-intv,da_p-left,da_p-right,e_p-intv,e_p-left,e_p-right,sini_p-intv,sini_p-left,sini_p-right,MeanLib-intv,MeanLib-left,MeanLib-right,LibRange-intv,LibRange-left,LibRange-right,albedo-intv,albedo-left,albedo-right,W1Alb-intv,W1Alb-left,W1Alb-right,W2Alb-intv,W2Alb-left,W2Alb-right,g_mag-mean-intv,g_mag-mean-left,g_mag-mean-right,(b - v)-intv,(b - v)-left,(b - v)-right,(u - g)-intv,(u - g)-left,(u - g)-right,(g - r)-intv,(g - r)-left,(g - r)-right,(r - i)-intv,(r - i)-left,(r - i)-right,(i - z)-intv,(i - z)-left,(i - z)-right,(Y - J)-intv,(Y - J)-left,(Y - J)-right,(J - Ks)-intv,(J - Ks)-left,(J - Ks)-right,(H - Ks)-intv,(H - Ks)-left,(H - Ks)-right,GreaterClan,Clan,SubClan,tax_c,Tax_ref
   588 Achilles (1906 TG),2.0,8.0,3.0,3.0,2.0,1.0,3.0,1.0,4.0,?,?,?,?,?,7.0,4.0,?,4,"(0.0232, 0.0345]",0.0232,0.0345,"(0.103, 0.115]",0.10300000000000001,0.115,"(0.172, 0.226]",0.172,0.226,"(0.436, 1.766]",0.436,1.766,"(13.201, 18.4]",13.200999999999999,18.4,"(0.0367, 0.0483]",0.0367,0.0483,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.0528, 0.0776]",0.0528,0.0776,"(16.202, 16.475]",16.202,16.475,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"(0.351, 0.398]",0.35100000000000003,0.398,"(0.549, 0.669]",0.5489999999999999,0.669,-,-,-,GreaterAchilles,Achilles,-,,
  3794 Sthenelos (1985 TF3),1.0,9.0,1.0,4.0,1.0,7.0,3.0,4.0,13.0,?,?,?,?,?,?,?,?,4,"(0.0119, 0.0232]",0.0119,0.0232,"(0.115, 0.127]",0.115,0.127,"(0.0648, 0.119]",0.0648,0.11900000000000001,"(1.766, 3.096]",1.766,3.096,"(8.002, 13.201]",8.002,13.200999999999999,"(0.107, 0.118]",0.107,0.118,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.127, 0.152]",0.127,0.152,"(18.653, 18.925]",18.653,18.925,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterAchilles,Achilles,-,,
  5259 Epeigeus (1989 BB1),2.0,9.0,4.0,3.0,2.0,4.0,3.0,3.0,10.0,4.0,7.0,4.0,10.0,10.0,?,?,?,4,"(0.0232, 0.0345]",0.0232,0.0345,"(0.115, 0.127]",0.115,0.127,"(0.226, 0.28]",0.226,0.28,"(0.436, 1.766]",0.436,1.766,"(13.201, 18.4]",13.200999999999999,18.4,"(0.0717, 0.0833]",0.0717,0.0833,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.102, 0.127]",0.102,0.127,"(17.836, 18.108]",17.836,18.108,"(0.787, 0.857]",0.787,0.857,"(1.405, 1.515]",1.405,1.515,"(0.567, 0.633]",0.5670000000000001,0.633,"(0.29, 0.312]",0.29,0.312,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,GreaterAchilles,Achilles,-,D,Hasselmann2012
 23075 (1999 XV83),2.0,9.0,3.0,4.0,2.0,4.0,3.0,6.0,?,4.0,6.0,4.0,10.0,10.0,?,?,?,4,"(0.0232, 0.0345]",0.0232,0.0345,"(0.115, 0.127]",0.115,0.127,"(0.172, 0.226]",0.172,0.226,"(1.766, 3.096]",1.766,3.096,"(13.201, 18.4]",13.200999999999999,18.4,"(0.0717, 0.0833]",0.0717,0.0833,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.177, 0.202]",0.177,0.202,-,-,-,"(0.787, 0.857]",0.787,0.857,"(1.294, 1.405]",1.294,1.405,"(0.567, 0.633]",0.5670000000000001,0.633,"(0.29, 0.312]",0.29,0.312,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,GreaterAchilles,Achilles,-,,
 33822 (2000 AA231),2.0,11.0,4.0,4.0,2.0,?,?,?,?,4.0,6.0,4.0,6.0,11.0,?,?,?,4,"(0.0232, 0.0345]",0.0232,0.0345,"(0.14, 0.152]",0.14,0.152,"(0.226, 0.28]",0.226,0.28,"(1.766, 3.096]",1.766,3.096,"(13.201, 18.4]",13.200999999999999,18.4,-,-,-,-,-,-,-,-,-,-,-,-,"(0.787, 0.857]",0.787,0.857,"(1.294, 1.405]",1.294,1.405,"(0.567, 0.633]",0.5670000000000001,0.633,"(0.201, 0.223]",0.201,0.223,"(0.183, 0.25]",0.183,0.25,-,-,-,-,-,-,-,-,-,GreaterAchilles,Achilles,-,,
 38619 (2000 AW183),2.0,8.0,4.0,4.0,2.0,5.0,5.0,5.0,?,5.0,7.0,5.0,7.0,9.0,?,?,?,4,"(0.0232, 0.0345]",0.0232,0.0345,"(0.103, 0.115]",0.10300000000000001,0.115,"(0.226, 0.28]",0.226,0.28,"(1.766, 3.096]",1.766,3.096,"(13.201, 18.4]",13.200999999999999,18.4,"(0.0833, 0.095]",0.0833,0.095,"(0.171, 0.194]",0.171,0.194,"(0.152, 0.177]",0.152,0.177,-,-,-,"(0.857, 0.926]",0.857,0.926,"(1.405, 1.515]",1.405,1.515,"(0.633, 0.7]",0.633,0.7,"(0.223, 0.245]",0.223,0.245,"(0.05, 0.117]",0.05,0.117,-,-,-,-,-,-,-,-,-,GreaterAchilles,Achilles,-,,
 55571 (2002 CP82),2.0,9.0,3.0,4.0,2.0,11.0,11.0,11.0,?,3.0,7.0,3.0,5.0,9.0,?,?,?,4,"(0.0232, 0.0345]",0.0232,0.0345,"(0.115, 0.127]",0.115,0.127,"(0.172, 0.226]",0.172,0.226,"(1.766, 3.096]",1.766,3.096,"(13.201, 18.4]",13.200999999999999,18.4,"(0.153, 0.165]",0.153,0.165,"(0.308, 0.331]",0.308,0.331,"(0.301, 0.326]",0.301,0.326,-,-,-,"(0.718, 0.787]",0.718,0.787,"(1.405, 1.515]",1.405,1.515,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.179, 0.201]",0.179,0.201,"(0.05, 0.117]",0.05,0.117,-,-,-,-,-,-,-,-,-,GreaterAchilles,Achilles,-,,
116954 (2004 HS1),3.0,9.0,2.0,4.0,2.0,2.0,?,?,?,3.0,6.0,3.0,6.0,11.0,?,?,?,4,"(0.0345, 0.0458]",0.0345,0.0458,"(0.115, 0.127]",0.115,0.127,"(0.119, 0.172]",0.11900000000000001,0.172,"(1.766, 3.096]",1.766,3.096,"(13.201, 18.4]",13.200999999999999,18.4,"(0.0483, 0.06]",0.0483,0.06,-,-,-,-,-,-,-,-,-,"(0.718, 0.787]",0.718,0.787,"(1.294, 1.405]",1.294,1.405,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.201, 0.223]",0.201,0.223,"(0.183, 0.25]",0.183,0.25,-,-,-,-,-,-,-,-,-,GreaterAchilles,Achilles,-,,
160534 (1996 TA58),4.0,9.0,3.0,4.0,3.0,1.0,?,?,?,3.0,7.0,4.0,10.0,11.0,?,?,?,4,"(0.0458, 0.0571]",0.0458,0.0571,"(0.115, 0.127]",0.115,0.127,"(0.172, 0.226]",0.172,0.226,"(1.766, 3.096]",1.766,3.096,"(18.4, 23.599]",18.4,23.599,"(0.0367, 0.0483]",0.0367,0.0483,-,-,-,-,-,-,-,-,-,"(0.718, 0.787]",0.718,0.787,"(1.405, 1.515]",1.405,1.515,"(0.567, 0.633]",0.5670000000000001,0.633,"(0.29, 0.312]",0.29,0.312,"(0.183, 0.25]",0.183,0.25,-,-,-,-,-,-,-,-,-,GreaterAchilles,Achilles,-,,
