full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,da_p-intv,da_p-left,da_p-right,e_p-intv,e_p-left,e_p-right,sini_p-intv,sini_p-left,sini_p-right,MeanLib-intv,MeanLib-left,MeanLib-right,LibRange-intv,LibRange-left,LibRange-right,albedo-intv,albedo-left,albedo-right,W1Alb-intv,W1Alb-left,W1Alb-right,W2Alb-intv,W2Alb-left,W2Alb-right,g_mag-mean-intv,g_mag-mean-left,g_mag-mean-right,(b - v)-intv,(b - v)-left,(b - v)-right,(u - g)-intv,(u - g)-left,(u - g)-right,(g - r)-intv,(g - r)-left,(g - r)-right,(r - i)-intv,(r - i)-left,(r - i)-right,(i - z)-intv,(i - z)-left,(i - z)-right,(Y - J)-intv,(Y - J)-left,(Y - J)-right,(J - Ks)-intv,(J - Ks)-left,(J - Ks)-right,(H - Ks)-intv,(H - Ks)-left,(H - Ks)-right,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  3709 Polypoites (1985 TL3),5.0,0.0,6.0,3.0,3.0,5.0,5.0,5.0,5.0,?,?,?,?,?,?,?,?,4,"(0.0571, 0.0684]",0.0571,0.0684,"(0.00351, 0.0161]",0.00351,0.0161,"(0.334, 0.387]",0.33399999999999996,0.387,"(0.436, 1.766]",0.436,1.766,"(18.4, 23.599]",18.4,23.599,"(0.0833, 0.095]",0.0833,0.095,"(0.171, 0.194]",0.171,0.194,"(0.152, 0.177]",0.152,0.177,"(16.475, 16.747]",16.475,16.747,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Polypoites,-,D,Bendjoya2004
  4035 (1986 WD),6.0,0.0,4.0,4.0,5.0,2.0,3.0,3.0,8.0,?,?,?,?,?,?,?,?,4,"(0.0684, 0.0798]",0.0684,0.0798,"(0.00351, 0.0161]",0.00351,0.0161,"(0.226, 0.28]",0.226,0.28,"(1.766, 3.096]",1.766,3.096,"(28.797, 33.996]",28.796999999999997,33.996,"(0.0483, 0.06]",0.0483,0.06,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.102, 0.127]",0.102,0.127,"(17.291, 17.564]",17.291,17.564,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Polypoites,-,D,Bendjoya2004
 18062 (1999 XY187),5.0,0.0,5.0,3.0,5.0,5.0,5.0,6.0,?,4.0,7.0,4.0,8.0,10.0,?,?,?,4,"(0.0571, 0.0684]",0.0571,0.0684,"(0.00351, 0.0161]",0.00351,0.0161,"(0.28, 0.334]",0.28,0.33399999999999996,"(0.436, 1.766]",0.436,1.766,"(28.797, 33.996]",28.796999999999997,33.996,"(0.0833, 0.095]",0.0833,0.095,"(0.171, 0.194]",0.171,0.194,"(0.177, 0.202]",0.177,0.202,-,-,-,"(0.787, 0.857]",0.787,0.857,"(1.405, 1.515]",1.405,1.515,"(0.567, 0.633]",0.5670000000000001,0.633,"(0.245, 0.267]",0.245,0.267,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,-,Polypoites,-,D,Hasselmann2012
 65257 (2002 FU36),4.0,2.0,5.0,3.0,3.0,5.0,5.0,6.0,?,?,?,?,?,?,?,?,?,4,"(0.0458, 0.0571]",0.0458,0.0571,"(0.0284, 0.0408]",0.0284,0.0408,"(0.28, 0.334]",0.28,0.33399999999999996,"(0.436, 1.766]",0.436,1.766,"(18.4, 23.599]",18.4,23.599,"(0.0833, 0.095]",0.0833,0.095,"(0.171, 0.194]",0.171,0.194,"(0.177, 0.202]",0.177,0.202,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Polypoites,-,,
264154 (2009 VA107),6.0,0.0,5.0,4.0,5.0,3.0,?,?,?,?,?,?,?,?,6.0,5.0,?,4,"(0.0684, 0.0798]",0.0684,0.0798,"(0.00351, 0.0161]",0.00351,0.0161,"(0.28, 0.334]",0.28,0.33399999999999996,"(1.766, 3.096]",1.766,3.096,"(28.797, 33.996]",28.796999999999997,33.996,"(0.06, 0.0717]",0.06,0.0717,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"(0.304, 0.351]",0.304,0.35100000000000003,"(0.669, 0.789]",0.669,0.789,-,-,-,-,Polypoites,-,,
