full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
 98362 (2000 SA363),0.1212,0.0345,0.4557,7.51390720832188,61.3766787888585,0.153,?,?,?,0.66,1.79,0.449999999999999,0.09,-0.039999999999999,?,?,?,5,GreaterAstyanax,Astyanax,AstyanaxSub,,
 99306 (2001 SC101),0.1495,0.0475,0.0783,13.3430716934655,68.18127280895939,0.072,?,?,?,0.803333333333333,1.38,0.593333333333334,0.26,0.143333333333332,0.437273,0.069167,?,5,GreaterAstyanax,Astyanax,AcamasSub,,
 99309 (2001 SH264),0.1269,0.046,0.1966,8.40156781071494,55.49971350691261,?,?,?,?,0.73,1.64,0.52,0.330000000000002,-0.09,?,?,?,5,GreaterAstyanax,Astyanax,-,,
106143 (2000 TU44),0.1349,0.0332,0.2097,10.8112450121953,63.84133587085049,?,?,?,?,0.789999999999998,1.515,0.577500000000001,0.232499999999998,0.155000000000001,?,?,?,5,GreaterAstyanax,Astyanax,-,,
106160 (2000 TG61),0.1066,0.0371,0.2408,5.7410040580720105,47.3251573882098,0.13,?,?,?,0.720000000000002,1.37,0.509999999999998,0.150000000000002,0.169999999999998,?,?,?,5,GreaterAstyanax,Astyanax,OphelestesSub,,
111198 (2001 WX20),0.1299,0.0552,0.0556,10.578274917249098,60.5905257050551,?,?,?,?,0.760000000000002,1.51,0.559999999999999,0.150000000000002,0.109999999999999,?,?,?,5,GreaterAstyanax,Astyanax,1989UX5Sub,,
117385 (2004 YN20),0.1134,0.031,0.2083,5.50594007483466,45.8592021111704,0.076,?,?,?,?,?,?,?,?,0.349957,0.2251655,?,5,GreaterAstyanax,Astyanax,OphelestesSub,,
122962 (2000 SG215),0.1127,0.0397,0.0601,7.47911489338014,51.4050525230155,?,?,?,?,0.719999999999999,1.38,0.510000000000002,0.199999999999999,0.140000000000001,?,?,?,5,GreaterAstyanax,Astyanax,-,,
131635 (2001 XW71),0.121,0.0541,0.0413,8.98560172229423,55.4445572383993,?,?,?,?,0.77,1.19,0.550000000000001,0.260000000000002,0.18,?,?,?,5,GreaterAstyanax,Astyanax,1989UX5Sub,,
151883 (2003 WQ25),0.1499,0.0448,0.0761,13.7485387471474,69.342007238875,?,?,?,?,0.859999999999999,1.54,0.640000000000001,0.259999999999998,0.120000000000001,?,?,?,5,GreaterAstyanax,Astyanax,AcamasSub,,
152297 (2005 TH49),0.1119,0.0379,0.2041,6.3965975624475995,49.3473482218344,0.051,?,?,?,0.7825,1.8925,0.57,0.27,0.14,0.41625875,0.8128195,?,5,GreaterAstyanax,Astyanax,-,,
153500 (2001 RN122),0.1239,0.0337,0.2564,8.38938918627719,57.342086988519,0.077,?,?,?,0.854999999999999,1.745,0.639999999999999,0.210000000000001,0.215000000000002,?,?,?,5,GreaterAstyanax,Astyanax,AstyanaxSub,,
182522 (2001 SZ337),0.1289,0.0537,0.079,8.5070772231403,53.8557702397371,?,?,?,?,?,?,?,?,?,0.4258835,1.138785,?,5,GreaterAstyanax,Astyanax,1989UX5Sub,,
187456 (2005 XK5),0.1298,0.0591,0.1984,11.4047119147996,63.288483586961604,0.05,?,?,?,?,?,?,?,?,0.379877,0.9086525,0.164074,5,GreaterAstyanax,Astyanax,-,,
216409 (2008 GM84),0.1134,0.016,0.0856,7.34004007865178,50.878846616454105,?,?,?,?,?,?,?,?,?,0.2260605,0.653948,?,5,GreaterAstyanax,Astyanax,-,,
