full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,da_p-intv,da_p-left,da_p-right,e_p-intv,e_p-left,e_p-right,sini_p-intv,sini_p-left,sini_p-right,MeanLib-intv,MeanLib-left,MeanLib-right,LibRange-intv,LibRange-left,LibRange-right,albedo-intv,albedo-left,albedo-right,W1Alb-intv,W1Alb-left,W1Alb-right,W2Alb-intv,W2Alb-left,W2Alb-right,g_mag-mean-intv,g_mag-mean-left,g_mag-mean-right,(b - v)-intv,(b - v)-left,(b - v)-right,(u - g)-intv,(u - g)-left,(u - g)-right,(g - r)-intv,(g - r)-left,(g - r)-right,(r - i)-intv,(r - i)-left,(r - i)-right,(i - z)-intv,(i - z)-left,(i - z)-right,(Y - J)-intv,(Y - J)-left,(Y - J)-right,(J - Ks)-intv,(J - Ks)-left,(J - Ks)-right,(H - Ks)-intv,(H - Ks)-left,(H - Ks)-right,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  2759 Idomeneus (1980 GC),4.0,6.0,6.0,3.0,4.0,3.0,3.0,4.0,8.0,4.0,7.0,4.0,8.0,10.0,?,?,?,4,"(0.0458, 0.0571]",0.0458,0.0571,"(0.0779, 0.0903]",0.0779,0.0903,"(0.334, 0.387]",0.33399999999999996,0.387,"(0.436, 1.766]",0.436,1.766,"(23.599, 28.797]",23.599,28.796999999999997,"(0.06, 0.0717]",0.06,0.0717,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.127, 0.152]",0.127,0.152,"(17.291, 17.564]",17.291,17.564,"(0.787, 0.857]",0.787,0.857,"(1.405, 1.515]",1.405,1.515,"(0.567, 0.633]",0.5670000000000001,0.633,"(0.245, 0.267]",0.245,0.267,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,-,Idomeneus,-,D,Hasselmann2012
  3793 Leonteus (1985 TE3),4.0,4.0,6.0,3.0,4.0,1.0,1.0,0.0,5.0,3.0,7.0,3.0,5.0,10.0,6.0,4.0,?,4,"(0.0458, 0.0571]",0.0458,0.0571,"(0.0532, 0.0655]",0.0532,0.0655,"(0.334, 0.387]",0.33399999999999996,0.387,"(0.436, 1.766]",0.436,1.766,"(23.599, 28.797]",23.599,28.796999999999997,"(0.0367, 0.0483]",0.0367,0.0483,"(0.0789, 0.102]",0.0789,0.102,"(0.0276, 0.0528]",0.0276,0.0528,"(16.475, 16.747]",16.475,16.747,"(0.718, 0.787]",0.718,0.787,"(1.405, 1.515]",1.405,1.515,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.179, 0.201]",0.179,0.201,"(0.117, 0.183]",0.117,0.183,"(0.304, 0.351]",0.304,0.35100000000000003,"(0.549, 0.669]",0.5489999999999999,0.669,-,-,-,-,Idomeneus,-,D,Hasselmann2012
  4063 Euforbo (1989 CG2),4.0,5.0,5.0,3.0,4.0,3.0,3.0,2.0,5.0,3.0,5.0,3.0,6.0,4.0,7.0,4.0,?,4,"(0.0458, 0.0571]",0.0458,0.0571,"(0.0655, 0.0779]",0.0655,0.0779,"(0.28, 0.334]",0.28,0.33399999999999996,"(0.436, 1.766]",0.436,1.766,"(23.599, 28.797]",23.599,28.796999999999997,"(0.06, 0.0717]",0.06,0.0717,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.0776, 0.102]",0.0776,0.102,"(16.475, 16.747]",16.475,16.747,"(0.718, 0.787]",0.718,0.787,"(1.183, 1.294]",1.183,1.294,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.201, 0.223]",0.201,0.223,"(-0.283, -0.217]",-0.28300000000000003,-0.217,"(0.351, 0.398]",0.35100000000000003,0.398,"(0.549, 0.669]",0.5489999999999999,0.669,-,-,-,-,Idomeneus,-,D,Bendjoya2004
 22054 (2000 AP21),4.0,5.0,6.0,3.0,4.0,2.0,1.0,2.0,?,?,?,?,?,?,?,?,?,4,"(0.0458, 0.0571]",0.0458,0.0571,"(0.0655, 0.0779]",0.0655,0.0779,"(0.334, 0.387]",0.33399999999999996,0.387,"(0.436, 1.766]",0.436,1.766,"(23.599, 28.797]",23.599,28.796999999999997,"(0.0483, 0.06]",0.0483,0.06,"(0.0789, 0.102]",0.0789,0.102,"(0.0776, 0.102]",0.0776,0.102,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Idomeneus,-,,
 24505 (2001 BZ),5.0,5.0,5.0,3.0,4.0,4.0,?,?,?,5.0,7.0,5.0,9.0,10.0,?,?,?,4,"(0.0571, 0.0684]",0.0571,0.0684,"(0.0655, 0.0779]",0.0655,0.0779,"(0.28, 0.334]",0.28,0.33399999999999996,"(0.436, 1.766]",0.436,1.766,"(23.599, 28.797]",23.599,28.796999999999997,"(0.0717, 0.0833]",0.0717,0.0833,-,-,-,-,-,-,-,-,-,"(0.857, 0.926]",0.857,0.926,"(1.405, 1.515]",1.405,1.515,"(0.633, 0.7]",0.633,0.7,"(0.267, 0.29]",0.267,0.29,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,-,Idomeneus,-,,
326125 (2011 YY61),3.0,4.0,6.0,3.0,3.0,?,?,?,?,?,?,?,?,?,5.0,5.0,?,4,"(0.0345, 0.0458]",0.0345,0.0458,"(0.0532, 0.0655]",0.0532,0.0655,"(0.334, 0.387]",0.33399999999999996,0.387,"(0.436, 1.766]",0.436,1.766,"(18.4, 23.599]",18.4,23.599,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"(0.257, 0.304]",0.257,0.304,"(0.669, 0.789]",0.669,0.789,-,-,-,-,Idomeneus,-,,
