full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,da_p-intv,da_p-left,da_p-right,e_p-intv,e_p-left,e_p-right,sini_p-intv,sini_p-left,sini_p-right,MeanLib-intv,MeanLib-left,MeanLib-right,LibRange-intv,LibRange-left,LibRange-right,albedo-intv,albedo-left,albedo-right,W1Alb-intv,W1Alb-left,W1Alb-right,W2Alb-intv,W2Alb-left,W2Alb-right,g_mag-mean-intv,g_mag-mean-left,g_mag-mean-right,(b - v)-intv,(b - v)-left,(b - v)-right,(u - g)-intv,(u - g)-left,(u - g)-right,(g - r)-intv,(g - r)-left,(g - r)-right,(r - i)-intv,(r - i)-left,(r - i)-right,(i - z)-intv,(i - z)-left,(i - z)-right,(Y - J)-intv,(Y - J)-left,(Y - J)-right,(J - Ks)-intv,(J - Ks)-left,(J - Ks)-right,(H - Ks)-intv,(H - Ks)-left,(H - Ks)-right,GreaterClan,Clan,SubClan,tax_c,Tax_ref
 83983 (2002 GE39),1.0,5.0,14.0,0.0,1.0,?,?,?,?,4.0,5.0,4.0,10.0,11.0,?,?,?,4.0,"(0.0128, 0.025]",0.0128,0.025,"(0.0582, 0.0691]",0.0582,0.0691,"(0.764, 0.817]",0.764,0.8170000000000001,"(56.425, 57.775]",56.425,57.775,"(9.221, 14.326]",9.221,14.326,,,,,,,,,,,,,"(0.787, 0.857]",0.787,0.857,"(1.347, 1.441]",1.347,1.4409999999999998,"(0.567, 0.633]",0.5670000000000001,0.633,"(0.26, 0.276]",0.26,0.276,"(0.088, 0.146]",0.08800000000000001,0.146,,,,,,,,,,-,Stentor,-,,
 85807 (1998 WR10),3.0,3.0,8.0,2.0,3.0,3.0,?,?,?,?,?,?,?,?,8.0,3.0,?,4.0,"(0.0371, 0.0493]",0.0371,0.0493,"(0.0364, 0.0473]",0.0364,0.0473,"(0.441, 0.495]",0.441,0.495,"(59.105, 60.436]",59.105,60.43600000000001,"(19.431, 24.536]",19.431,24.536,"(0.0596, 0.0711]",0.0596,0.0711,,,,,,,,,,,,,,,,,,,,,,,,,"(0.375, 0.42]",0.375,0.42,"(0.487, 0.602]",0.487,0.602,,,,-,1998WR10,-,,
 88225 (2001 BN27),0.0,3.0,10.0,1.0,0.0,?,?,?,?,5.0,13.0,5.0,8.0,13.0,?,?,?,4.0,"(0.000442, 0.0128]",0.000442,0.0128,"(0.0364, 0.0473]",0.0364,0.0473,"(0.549, 0.602]",0.5489999999999999,0.602,"(57.775, 59.105]",57.775,59.105,"(4.045, 9.221]",4.045,9.221,,,,,,,,,,,,,"(0.857, 0.926]",0.857,0.926,"(2.101, 2.196]",2.101,2.196,"(0.633, 0.7]",0.633,0.7,"(0.228, 0.244]",0.228,0.244,"(0.204, 0.262]",0.204,0.262,,,,,,,,,,-,Stentor,-,,
 89829 (2002 BQ29),2.0,8.0,4.0,3.0,2.0,6.0,?,?,?,3.0,6.0,3.0,5.0,11.0,?,?,?,4.0,"(0.025, 0.0371]",0.025,0.0371,"(0.091, 0.102]",0.091,0.102,"(0.226, 0.28]",0.226,0.28,"(60.436, 61.766]",60.43600000000001,61.76600000000001,"(14.326, 19.431]",14.326,19.431,"(0.0942, 0.106]",0.0942,0.106,,,,,,,,,,"(0.718, 0.787]",0.718,0.787,"(1.441, 1.535]",1.4409999999999998,1.535,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.18, 0.196]",0.18,0.196,"(0.088, 0.146]",0.08800000000000001,0.146,,,,,,,,,,GreaterAchilles,-,-,,
 89844 (2002 CP64),2.0,12.0,5.0,3.0,2.0,?,?,?,?,3.0,4.0,3.0,8.0,9.0,?,?,?,4.0,"(0.025, 0.0371]",0.025,0.0371,"(0.135, 0.145]",0.135,0.145,"(0.28, 0.334]",0.28,0.334,"(60.436, 61.766]",60.43600000000001,61.76600000000001,"(14.326, 19.431]",14.326,19.431,,,,,,,,,,,,,"(0.718, 0.787]",0.718,0.787,"(1.252, 1.347]",1.252,1.347,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.228, 0.244]",0.228,0.244,"(-0.028, 0.03]",-0.028,0.03,,,,,,,,,,GreaterAchilles,1991EL,-,,
 89858 (2002 CK96),0.0,5.0,2.0,2.0,0.0,5.0,?,?,?,3.0,4.0,3.0,7.0,11.0,?,?,?,4.0,"(0.000442, 0.0128]",0.000442,0.0128,"(0.0582, 0.0691]",0.0582,0.0691,"(0.119, 0.172]",0.119,0.172,"(59.105, 60.436]",59.105,60.43600000000001,"(4.045, 9.221]",4.045,9.221,"(0.0827, 0.0942]",0.0827,0.0942,,,,,,,,,,"(0.718, 0.787]",0.718,0.787,"(1.252, 1.347]",1.252,1.347,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.212, 0.228]",0.212,0.228,"(0.088, 0.146]",0.08800000000000001,0.146,,,,,,,,,,-,Halitherses,-,,
 89871 (2002 CU143),4.0,2.0,3.0,3.0,3.0,?,?,?,?,5.0,7.0,5.0,11.0,11.0,?,?,?,4.0,"(0.0493, 0.0615]",0.0493,0.0615,"(0.0255, 0.0364]",0.0255,0.0364,"(0.172, 0.226]",0.172,0.226,"(60.436, 61.766]",60.43600000000001,61.76600000000001,"(19.431, 24.536]",19.431,24.536,,,,,,,,,,,,,"(0.857, 0.926]",0.857,0.926,"(1.535, 1.63]",1.535,1.63,"(0.633, 0.7]",0.633,0.7,"(0.276, 0.292]",0.276,0.292,"(0.088, 0.146]",0.08800000000000001,0.146,,,,,,,,,,GreaterTelamon,Theoklymenos,-,,
 89924 (2002 ED51),5.0,3.0,0.0,4.0,4.0,1.0,?,?,?,4.0,6.0,5.0,7.0,11.0,?,?,?,4.0,"(0.0615, 0.0737]",0.0615,0.0737,"(0.0364, 0.0473]",0.0364,0.0473,"(0.0102, 0.0648]",0.0102,0.0648,"(61.766, 63.096]",61.76600000000001,63.096,"(24.536, 29.641]",24.536,29.641,"(0.0365, 0.0481]",0.0365,0.0481,,,,,,,,,,"(0.787, 0.857]",0.787,0.857,"(1.441, 1.535]",1.4409999999999998,1.535,"(0.633, 0.7]",0.633,0.7,"(0.212, 0.228]",0.212,0.228,"(0.088, 0.146]",0.08800000000000001,0.146,,,,,,,,,,GreaterTelamon,Kalchas,-,,
 90337 (2003 FQ97),2.0,9.0,6.0,3.0,1.0,2.0,2.0,2.0,?,?,?,?,?,?,?,?,?,4.0,"(0.025, 0.0371]",0.025,0.0371,"(0.102, 0.113]",0.102,0.113,"(0.334, 0.387]",0.334,0.387,"(60.436, 61.766]",60.43600000000001,61.76600000000001,"(9.221, 14.326]",9.221,14.326,"(0.0481, 0.0596]",0.0481,0.0596,"(0.101, 0.124]",0.101,0.124,"(0.0839, 0.108]",0.0839,0.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,Halaesus,-,,
100619 (1997 TK14),6.0,6.0,5.0,5.0,6.0,?,?,?,?,?,?,?,?,?,10.0,3.0,6.0,4.0,"(0.0737, 0.0858]",0.0737,0.0858,"(0.0691, 0.08]",0.0691,0.08,"(0.28, 0.334]",0.28,0.334,"(63.096, 64.427]",63.096,64.42699999999999,"(34.746, 39.851]",34.746,39.851,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.464, 0.508]",0.464,0.508,"(0.487, 0.602]",0.487,0.602,"(0.158, 0.24]",0.158,0.24,GreaterAjax,-,-,,
